CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,326,1,77183.6,1,1,5,115,Lost Customers
12347.0,40,182,4310.0,4,5,5,455,Loyal Customers
12348.0,76,31,1797.24,3,3,4,334,Potential Loyalists
12349.0,19,73,1757.55,4,4,4,444,Loyal Customers
12350.0,311,17,334.4,1,2,2,122,Lost Customers
12352.0,73,85,2506.04,3,4,5,345,Loyal Customers
12353.0,204,4,89.0,1,1,1,111,Lost Customers
12354.0,233,58,1079.4,1,3,4,134,At Risk
12355.0,96,13,459.4,2,1,2,212,Lost Customers
12356.0,23,59,2811.43,4,4,5,445,Loyal Customers
12357.0,182,131,6207.67,2,5,5,255,Loyal Customers
12358.0,3,19,1168.06,5,2,4,524,Lost Customers
12359.0,9,248,6372.58,5,5,5,555,Champions
12360.0,53,129,2662.06,3,5,5,355,Loyal Customers
12361.0,288,10,189.9,1,1,1,111,Lost Customers
12362.0,30,266,5226.23,4,5,5,455,Loyal Customers
12363.0,36,23,552.0,4,2,3,423,Lost Customers
12364.0,41,85,1313.1,4,4,4,444,Loyal Customers
12365.0,292,22,641.38,1,2,3,123,Lost Customers
12367.0,212,11,168.9,1,1,1,111,Lost Customers
12370.0,52,167,3545.69,3,5,5,355,Loyal Customers
12371.0,30,63,1887.96,4,4,4,444,Loyal Customers
12372.0,35,52,1298.04,4,3,4,434,Potential Loyalists
12373.0,342,14,364.6,1,1,2,112,Lost Customers
12374.0,26,33,742.9300000000001,4,3,3,433,Potential Loyalists
12375.0,11,17,457.5,5,2,2,522,Lost Customers
12377.0,316,77,1628.12,1,4,4,144,Loyal Customers
12378.0,305,219,4008.62,1,5,5,155,Loyal Customers
12379.0,82,40,852.24,3,3,3,333,Potential Loyalists
12380.0,22,104,2724.81,4,4,5,445,Loyal Customers
12381.0,0,87,1845.31,5,4,4,544,Loyal Customers
12383.0,9,99,1850.56,5,4,4,544,Loyal Customers
12384.0,29,27,585.27,4,2,3,423,Lost Customers
12386.0,192,10,401.9,1,1,2,112,Lost Customers
12388.0,16,100,2780.66,5,4,5,545,Loyal Customers
12390.0,80,32,549.84,3,3,3,333,Potential Loyalists
12391.0,22,100,460.89,4,4,2,442,Potential Loyalists
12393.0,39,64,1582.6000000000001,4,4,4,444,Loyal Customers
12394.0,153,27,1272.48,2,2,4,224,Lost Customers
12395.0,5,156,3018.63,5,5,5,555,Champions
12397.0,136,126,2409.9,2,5,5,255,Loyal Customers
12398.0,46,85,1635.6599999999999,3,4,4,344,Loyal Customers
12399.0,2,59,1108.65,5,4,4,544,Loyal Customers
12401.0,99,5,84.3,2,1,1,211,Lost Customers
12402.0,324,11,225.6,1,1,1,111,Lost Customers
12403.0,50,5,427.7,3,1,2,312,Lost Customers
12405.0,149,54,1710.39,2,3,4,234,At Risk
12406.0,22,105,3415.3,4,4,5,445,Loyal Customers
12407.0,50,77,1708.1200000000001,3,4,4,344,Loyal Customers
12408.0,152,105,2888.55,2,4,5,245,Loyal Customers
12409.0,65,109,11072.67,3,4,5,345,Loyal Customers
12410.0,252,26,693.3299999999999,1,2,3,123,Lost Customers
12412.0,75,61,1226.88,3,4,4,344,Loyal Customers
12413.0,192,38,758.1,1,3,3,133,At Risk
12414.0,188,18,562.41,2,2,3,223,Lost Customers
12415.0,25,714,124914.53,4,5,5,455,Loyal Customers
12417.0,40,192,3649.1,4,5,5,455,Loyal Customers
12418.0,113,34,668.58,2,3,3,233,At Risk
12420.0,153,29,600.39,2,2,3,223,Lost Customers
12421.0,16,45,807.04,5,3,3,533,Potential Loyalists
12422.0,169,39,803.5600000000001,2,3,3,233,At Risk
12423.0,89,125,1859.31,2,5,4,254,Loyal Customers
12424.0,163,30,1760.96,2,3,4,234,At Risk
12425.0,78,36,777.2,3,3,3,333,Potential Loyalists
12426.0,195,30,582.73,1,3,3,133,At Risk
12427.0,22,31,825.8,4,3,3,433,Potential Loyalists
12428.0,26,294,7956.46,4,5,5,455,Loyal Customers
12429.0,9,97,3750.4,5,4,5,545,Loyal Customers
12430.0,44,11,256.4,3,1,2,312,Lost Customers
12431.0,2,235,6487.45,5,5,5,555,Champions
12432.0,43,108,5059.32,4,4,5,445,Loyal Customers
12433.0,10,420,13375.87,5,5,5,555,Champions
12434.0,85,50,806.14,3,3,3,333,Potential Loyalists
12435.0,80,36,7829.89,3,3,5,335,Potential Loyalists
12436.0,335,16,509.01,1,2,3,123,Lost Customers
12437.0,9,199,4951.41,5,5,5,555,Champions
12438.0,15,98,2906.85,5,4,5,545,Loyal Customers
12441.0,485,11,173.55,1,1,1,111,Lost Customers
12442.0,181,12,172.06,2,1,1,211,Lost Customers
12444.0,0,176,5005.46,5,5,5,555,Champions
12445.0,22,4,133.4,4,1,1,411,Lost Customers
12446.0,58,57,1002.3100000000001,3,3,4,334,Potential Loyalists
12447.0,67,26,476.49,3,2,2,322,Lost Customers
12448.0,45,22,449.45,3,2,2,322,Lost Customers
12449.0,23,191,4067.29,4,5,5,455,Loyal Customers
12450.0,174,8,197.88,2,1,1,211,Lost Customers
12451.0,11,354,9035.52,5,5,5,555,Champions
12452.0,17,22,430.57,5,2,2,522,Lost Customers
12453.0,135,43,707.09,2,3,3,233,At Risk
12454.0,57,15,3528.34,3,2,5,325,Lost Customers
12455.0,74,90,2466.86,3,4,5,345,Loyal Customers
12456.0,45,125,3181.04,3,5,5,355,Loyal Customers
12457.0,82,62,2363.23,3,4,5,345,Loyal Customers
12458.0,72,38,947.4,3,3,4,334,Potential Loyalists
12461.0,125,35,826.88,2,3,3,233,At Risk
12462.0,19,62,1189.59,4,4,4,444,Loyal Customers
12463.0,6,83,1344.78,5,4,4,544,Loyal Customers
12464.0,11,29,1212.05,5,2,4,524,Lost Customers
12465.0,18,47,742.1899999999999,5,3,3,533,Potential Loyalists
12468.0,218,38,729.5400000000001,1,3,3,133,At Risk
12471.0,11,460,19824.05,5,5,5,555,Champions
12472.0,52,339,6572.11,3,5,5,355,Loyal Customers
12473.0,54,168,3938.5499999999997,3,5,5,355,Loyal Customers
12474.0,3,424,7375.79,5,5,5,555,Champions
12475.0,54,36,723.38,3,3,3,333,Potential Loyalists
12476.0,16,233,6816.42,5,5,5,555,Champions
12477.0,23,300,13219.74,4,5,5,455,Loyal Customers
12478.0,181,36,680.99,2,3,3,233,At Risk
12479.0,12,31,527.2,5,3,3,533,Potential Loyalists
12480.0,29,154,3281.63,4,5,5,455,Loyal Customers
12481.0,23,217,5596.32,4,5,5,455,Loyal Customers
12483.0,18,75,2484.98,5,4,5,545,Loyal Customers
12484.0,101,346,4541.72,2,5,5,255,Loyal Customers
12488.0,10,55,1298.66,5,3,4,534,Potential Loyalists
12489.0,162,15,334.93,2,2,2,222,Lost Customers
12490.0,18,245,5417.93,5,5,5,555,Champions
12491.0,333,26,460.40000000000003,1,2,2,122,Lost Customers
12492.0,106,20,263.21000000000004,2,2,2,222,Lost Customers
